Customer_ID,Customer_Name,Segment,City,State,Country,Region,Market
LS-172304,Lycoris Saunders,Consumer,Los Angeles,California,United States,West,US
MV-174854,Mark Van Huff,Consumer,Los Angeles,California,United States,West,US
CS-121304,Chad Sievert,Consumer,Los Angeles,California,United States,West,US
AP-109154,Arthur Prichep,Consumer,Los Angeles,California,United States,West,US
JF-154904,Jeremy Farry,Consumer,Los Angeles,California,United States,West,US
WB-218504,William Brown,Consumer,Los Angeles,California,United States,West,US
JA-159704,Joseph Airdo,Consumer,Los Angeles,California,United States,West,US
SP-209204,Susan Pistek,Consumer,Los Angeles,California,United States,West,US
RL-196154,Rob Lucas,Consumer,Los Angeles,California,United States,West,US
KD-163454,Katherine Ducich,Consumer,Los Angeles,California,United States,West,US
JM-161954,Justin MacKendrick,Consumer,Los Angeles,California,United States,West,US
RD-195854,Rob Dowd,Consumer,Los Angeles,California,United States,West,US
AB-101654,Alan Barnes,Consumer,Los Angeles,California,United States,West,US
AR-105404,Andy Reiter,Consumer,Los Angeles,California,United States,West,US
LH-171554,Logan Haushalter,Consumer,Los Angeles,California,United States,West,US
AR-105104,Andrew Roberts,Consumer,Los Angeles,California,United States,West,US
NG-184304,Nathan Gelder,Consumer,Los Angeles,California,United States,West,US
DP-130004,Darren Powers,Consumer,Los Angeles,California,United States,West,US
TS-213404,Toby Swindell,Consumer,Los Angeles,California,United States,West,US
KM-167204,Kunst Miller,Consumer,Los Angeles,California,United States,West,US
AI-108554,Arianne Irving,Consumer,Los Angeles,California,United States,West,US
CL-125654,Clay Ludtke,Consumer,Los Angeles,California,United States,West,US
SW-202454,Scot Wooten,Consumer,Los Angeles,California,United States,West,US
CC-122204,Chris Cortes,Consumer,Los Angeles,California,United States,West,US
LC-171404,Logan Currie,Consumer,Los Angeles,California,United States,West,US
JF-152954,Jason Fortune-,Consumer,Los Angeles,California,United States,West,US
JO-152804,Jas O'Carroll,Consumer,Los Angeles,California,United States,West,US
TB-216254,Trudy Brown,Consumer,Los Angeles,California,United States,West,US
TT-210704,Ted Trevino,Consumer,Los Angeles,California,United States,West,US
DO-134354,Denny Ordway,Consumer,Los Angeles,California,United States,West,US
LS-172454,Lynn Smith,Consumer,Los Angeles,California,United States,West,US
OT-187304,Olvera Toch,Consumer,Los Angeles,California,United States,West,US
BD-113204,Bill Donatelli,Consumer,Los Angeles,California,United States,West,US
MV-181904,Mike Vittorini,Consumer,Los Angeles,California,United States,West,US
GT-147554,Guy Thornton,Consumer,Los Angeles,California,United States,West,US
CC-123704,Christopher Conant,Consumer,Los Angeles,California,United States,West,US
JM-155804,Jill Matthias,Consumer,Los Angeles,California,United States,West,US
PS-187604,Pamela Stobb,Consumer,Los Angeles,California,United States,West,US
CC-124754,Cindy Chapman,Consumer,Los Angeles,California,United States,West,US
JE-157454,Joel Eaton,Consumer,Los Angeles,California,United States,West,US
XP-218654,Xylona Preis,Consumer,Los Angeles,California,United States,West,US
SO-203354,Sean O'Donnell,Consumer,Los Angeles,California,United States,West,US
CK-125954,Clytie Kelty,Consumer,Los Angeles,California,United States,West,US
LL-168404,Lauren Leatherbury,Consumer,Los Angeles,California,United States,West,US
DD-135704,Dorothy Dickinson,Consumer,Los Angeles,California,United States,West,US
DV-134654,Dianna Vittorini,Consumer,Los Angeles,California,United States,West,US
CC-126704,Craig Carreira,Consumer,Los Angeles,California,United States,West,US
TT-212204,Thomas Thornton,Consumer,Los Angeles,California,United States,West,US
TB-215204,Tracy Blumstein,Consumer,Los Angeles,California,United States,West,US
KT-164804,Kean Thornton,Consumer,Los Angeles,California,United States,West,US
LC-170504,Liz Carlisle,Consumer,Los Angeles,California,United States,West,US
JM-158654,John Murray,Consumer,Los Angeles,California,United States,West,US
DB-136604,Duane Benoit,Consumer,Los Angeles,California,United States,West,US
GA-147254,Guy Armstrong,Consumer,Los Angeles,California,United States,West,US
EP-139154,Emily Phan,Consumer,Los Angeles,California,United States,West,US
CC-125504,Clay Cheatham,Consumer,Los Angeles,California,United States,West,US
SR-207404,Steven Roelle,Home Office,Los Angeles,California,United States,West,US
AY-105554,Andy Yotov,Corporate,Los Angeles,California,United States,West,US
AH-100304,Aaron Hawkins,Corporate,Los Angeles,California,United States,West,US
VF-217154,Vicky Freymann,Home Office,Los Angeles,California,United States,West,US
JM-152654,Janet Molinari,Corporate,Los Angeles,California,United States,West,US
GG-146504,Greg Guthrie,Corporate,Los Angeles,California,United States,West,US
PL-189254,Paul Lucas,Home Office,Los Angeles,California,United States,West,US
MA-175604,Matt Abelman,Home Office,Los Angeles,California,United States,West,US
MC-181304,Mike Caudle,Corporate,Los Angeles,California,United States,West,US
AM-103604,Alice McCarthy,Corporate,Los Angeles,California,United States,West,US
BP-110954,Bart Pistole,Corporate,Los Angeles,California,United States,West,US
DE-132554,Deanra Eno,Home Office,Los Angeles,California,United States,West,US
AJ-107804,Anthony Jacobs,Corporate,Los Angeles,California,United States,West,US
CG-120404,Catherine Glotzbach,Home Office,Los Angeles,California,United States,West,US
MO-178004,Meg O'Connel,Home Office,Los Angeles,California,United States,West,US
RW-195404,Rick Wilson,Corporate,Los Angeles,California,United States,West,US
YC-218954,Yoseph Carroll,Corporate,Los Angeles,California,United States,West,US
SN-207104,Steve Nguyen,Home Office,Los Angeles,California,United States,West,US
DB-129703,Darren Budd,Corporate,Los Angeles,California,United States,West,US
SM-203204,Sean Miller,Home Office,Los Angeles,California,United States,West,US
SC-200504,Sample Company A,Home Office,Los Angeles,California,United States,West,US
SM-209504,Suzanne McNair,Corporate,Los Angeles,California,United States,West,US
RD-198104,Ross DeVincentis,Home Office,Los Angeles,California,United States,West,US
KF-162854,Karen Ferguson,Home Office,Los Angeles,California,United States,West,US
RS-194204,Ricardo Sperren,Corporate,Los Angeles,California,United States,West,US
NL-183104,Nancy Lomonaco,Home Office,Los Angeles,California,United States,West,US
RB-197954,Ross Baird,Home Office,Los Angeles,California,United States,West,US
AH-100754,Adam Hart,Corporate,Los Angeles,California,United States,West,US
SC-202304,Scot Coram,Corporate,Los Angeles,California,United States,West,US
JS-156854,Jim Sink,Corporate,Los Angeles,California,United States,West,US
LA-167804,Laura Armstrong,Corporate,Los Angeles,California,United States,West,US
CW-119054,Carl Weiss,Home Office,Los Angeles,California,United States,West,US
TH-212354,Tiffany House,Corporate,Los Angeles,California,United States,West,US
AP-107204,Anne Pryor,Home Office,Los Angeles,California,United States,West,US
HG-149654,Henry Goldwyn,Corporate,Los Angeles,California,United States,West,US
GK-146204,Grace Kelly,Corporate,Los Angeles,California,United States,West,US
BT-115304,Bradley Talbott,Home Office,Los Angeles,California,United States,West,US
NS-186404,Noel Staavos,Corporate,Los Angeles,California,United States,West,US
SS-201404,Saphhira Shifley,Corporate,Los Angeles,California,United States,West,US
RS-197654,Roland Schwarz,Corporate,Los Angeles,California,United States,West,US
CS-122504,Chris Selesnick,Corporate,Los Angeles,California,United States,West,US
RB-194654,Rick Bensley,Home Office,Los Angeles,California,United States,West,US
FH-142754,Frank Hawley,Corporate,Los Angeles,California,United States,West,US
JL-158354,John Lee,Consumer,Los Angeles,California,United States,West,US
MH-172904,Marc Harrigan,Home Office,Los Angeles,California,United States,West,US
BH-117104,Brosina Hoffman,Consumer,Los Angeles,California,United States,West,US
FM-142154,Filia McAdams,Corporate,Los Angeles,California,United States,West,US
AR-108254,Anthony Rawles,Corporate,Los Angeles,California,United States,West,US
AB-102554,Alejandro Ballentine,Home Office,Los Angeles,California,United States,West,US
TC-215354,Tracy Collins,Home Office,Los Angeles,California,United States,West,US
RB-194354,Richard Bierner,Consumer,Los Angeles,California,United States,West,US
FP-143204,Frank Preis,Consumer,Los Angeles,California,United States,West,US
MC-178454,Michael Chen,Consumer,Los Angeles,California,United States,West,US
AZ-107504,Annie Zypern,Consumer,Los Angeles,California,United States,West,US
PC-190004,Pauline Chand,Home Office,Los Angeles,California,United States,West,US
GB-145304,George Bell,Corporate,Los Angeles,California,United States,West,US
SN-205604,Skye Norling,Home Office,Los Angeles,California,United States,West,US
FC-142454,Frank Carlisle,Home Office,Los Angeles,California,United States,West,US
PG-188954,Paul Gonzalez,Consumer,Los Angeles,California,United States,West,US
PW-190304,Pauline Webber,Corporate,Los Angeles,California,United States,West,US
TS-214304,Tom Stivers,Corporate,Los Angeles,California,United States,West,US
LR-169154,Lena Radford,Consumer,Los Angeles,California,United States,West,US
CS-119504,Carlos Soltero,Consumer,Los Angeles,California,United States,West,US
TB-212504,Tim Brockman,Consumer,Los Angeles,California,United States,West,US
MS-173654,Maribeth Schnelling,Consumer,Los Angeles,California,United States,West,US
FH-143654,Fred Hopkins,Corporate,Los Angeles,California,United States,West,US
TT-214604,Tonja Turnell,Home Office,Los Angeles,California,United States,West,US
ED-138854,Emily Ducich,Home Office,Los Angeles,California,United States,West,US
SP-208604,Sung Pak,Corporate,Los Angeles,California,United States,West,US
BP-110504,Barry Pond,Corporate,Los Angeles,California,United States,West,US
TB-214004,Tom Boeckenhauer,Consumer,Los Angeles,California,United States,West,US
EA-140354,Erin Ashbrook,Corporate,Los Angeles,California,United States,West,US
BW-112004,Ben Wallace,Consumer,Los Angeles,California,United States,West,US
SC-208004,Stuart Calhoun,Consumer,Los Angeles,California,United States,West,US
DP-131054,Dave Poirier,Corporate,Los Angeles,California,United States,West,US
SC-205754,Sonia Cooley,Consumer,Los Angeles,California,United States,West,US
RW-196904,Robert Waldorf,Consumer,Los Angeles,California,United States,West,US
ZC-219104,Zuschuss Carroll,Consumer,Los Angeles,California,United States,West,US
JE-157154,Joe Elijah,Consumer,Los Angeles,California,United States,West,US
AT-104354,Alyssa Tate,Home Office,Los Angeles,California,United States,West,US
BN-115154,Bradley Nguyen,Consumer,Los Angeles,California,United States,West,US
PO-188654,Patrick O'Donnell,Consumer,Los Angeles,California,United States,West,US
PS-189704,Paul Stevenson,Home Office,Los Angeles,California,United States,West,US
BB-109904,Barry Blumstein,Corporate,Los Angeles,California,United States,West,US
TS-213704,Todd Sumrall,Corporate,Los Angeles,California,United States,West,US
SS-204104,Shahid Shariari,Consumer,Los Angeles,California,United States,West,US
JD-161504,Justin Deggeller,Corporate,Los Angeles,California,United States,West,US
SC-200954,Sanjit Chand,Consumer,Los Angeles,California,United States,West,US
JB-159254,Joni Blumstein,Consumer,Los Angeles,California,United States,West,US
CD-127904,Cynthia Delaney,Home Office,Los Angeles,California,United States,West,US
MM-182804,Muhammed MacIntyre,Corporate,Los Angeles,California,United States,West,US
CS-124004,Christopher Schild,Home Office,Los Angeles,California,United States,West,US
CM-121904,Charlotte Melton,Consumer,Los Angeles,California,United States,West,US
